[[Items	430	
		0	0	0	0	2	0
cypress stick	cypress sticks	1	1	1	1	2	0
soldier's sword	soldier's swords	1	1	1	1	2	0
copper sword	copper swords	1	1	1	1	2	0
steel broadsword	steel broadswords	1	1	1	1	2	0
platinum sword	platinum swords	1	1	1	1	2	0
dream blade	dream blades	1	1	1	1	2	0
falcon blade	falcon blades	1	1	1	1	2	0
über falcon blade	über falcon blades	1	2	1	1	2	0
zombiesbane	zombiesbanes	1	1	1	1	2	0
zombie slayer	zombie slayers	1	1	1	1	2	0
dragonsbane	dragonsbanes	1	1	1	1	2	0
dragon slayer	dragon slayers	1	1	1	1	2	0
blizzard blade	blizzard blades	1	1	1	1	2	0
miracle sword	miracle swords	1	1	1	1	2	0
über miracle sword	über miracle swords	1	2	1	1	2	0
bastard sword	bastard swords	1	1	1	1	2	0
liquid metal sword	liquid metal swords	1	1	1	1	2	0
double<->edged sword	double<->edged swords	1	1	1	1	2	0
über double<->edge	über double<->edges	1	2	1	1	2	0
rusty old sword	rusty old swords	1	1	1	1	2	0
Dragovian sword	Dragovian swords	1	1	1	1	2	0
Dragovian king sword	Dragovian king swords	1	1	1	1	2	0
rapier	rapiers	1	1	1	1	2	0
Templar's sword	Templar's swords	1	1	1	1	2	0
hell sabre	hell sabres	1	1	1	1	2	0
holy silver rapier	holy silver rapiers	1	1	1	1	2	0
fallen angel rapier	fallen angel rapiers	1	1	1	1	2	0
shamshir of light	shamshirs of light	1	1	1	1	2	0
Mercury's rapier	Mercury's rapiers	1	1	1	1	2	0
bronze knife	bronze knives	1	1	1	1	2	0
dagger	daggers	1	1	1	1	2	0
poison moth knife	poison moth knives	1	1	1	1	2	0
assassin's dagger	assassin's daggers	1	2	1	1	2	0
icicle dirk	icicle dirks	1	2	1	1	2	0
poison needle	poison needles	1	1	1	1	2	0
falcon knife	falcon knives	1	1	1	1	2	0
imp knife	imp knives	1	2	1	1	2	0
sword breaker	sword breakers	1	1	1	1	2	0
eagle dagger	eagle daggers	1	2	1	1	2	0
iron lance	iron lances	1	2	1	1	2	0
holy lance	holy lances	1	1	1	1	2	0
long spear	long spears	1	1	1	1	2	0
partisan	partisans	1	1	1	1	2	0
battle fork	battle forks	1	1	1	1	2	0
sandstorm spear	sandstorm spears	1	1	1	1	2	0
demon spear	demon spears	1	1	1	1	2	0
hero spear	hero spears	1	1	1	1	2	0
metal king spear	metal king spears	1	1	1	1	2	0
boomerang	boomerangs	1	1	1	1	2	0
reinforced boomerang	reinforced boomerangs	1	1	1	1	2	0
edged boomerang	edged boomerangs	1	2	1	1	2	0
metal wing boomerang	metal wing boomerangs	1	1	1	1	2	0
razor wing boomerang	razor wing boomerangs	1	1	1	1	2	0
swallowtail	swallowtails	1	1	1	1	2	0
flametang boomerang	flametang boomerangs	1	1	1	1	2	0
stone axe	stone axes	1	1	1	1	2	0
iron axe	iron axes	1	2	1	1	2	0
king axe	king axes	1	1	1	1	2	0
moon axe	moon axes	1	1	1	1	2	0
bandit axe	bandit axes	1	1	1	1	2	0
golden axe	golden axes	1	1	1	1	2	0
battle<->axe	battle<->axes	1	1	1	1	2	0
conqueror's axe	conqueror's axes	1	1	1	1	2	0
oaken club	oaken clubs	1	2	1	1	2	0
giant mallet	giant mallets	1	1	1	1	2	0
sledgehammer	sledgehammers	1	1	1	1	2	0
war hammer	war hammers	1	1	1	1	2	0
über war hammer	über war hammers	1	2	1	1	2	0
megaton hammer	megaton hammers	1	1	1	1	2	0
flail of fury	flails of fury	1	1	1	1	2	0
flail of destruction	flails of destruction	1	1	1	1	2	0
thorn whip	thorn whips	1	1	1	1	2	0
leather whip	leather whips	1	1	1	1	2	0
snakeskin whip	snakeskin whips	1	1	1	1	2	0
chain whip	chain whips	1	1	1	1	2	0
dragontail whip	dragontail whips	1	1	1	1	2	0
spiked steel whip	spiked steel whips	1	1	1	1	2	0
demon whip	demon whips	1	1	1	1	2	0
scourge whip	scourge whips	1	1	1	1	2	0
Gringham whip	Gringham whips	1	1	1	1	2	0
farmer's scythe	farmer's scythes	1	1	1	1	2	0
heavy hatchet	heavy hatchets	1	1	1	1	2	0
bardiche of binding	bardiches of binding	1	1	1	1	2	0
hell scythe	hell scythes	1	1	1	1	2	0
steel scythe	steel scythes	1	1	1	1	2	0
wizard's staff	wizard's staves	1	1	1	1	2	0
lightning staff	lightning staves	1	1	1	1	2	0
staff of divine wrath	staves of divine wrath	1	1	1	1	2	0
magma staff	magma staves	1	1	1	1	2	0
staff of antimagic	staves of antimagic	1	1	1	1	2	0
rune staff	rune staves	1	1	1	1	2	0
staff of resurrection	staves of resurrection	1	1	1	1	2	0
magical mace	magical maces	1	1	1	1	2	0
hunter's bow	hunter's bows	1	1	1	1	2	0
great bow	great bows	1	1	1	1	2	0
short bow	short bows	1	1	1	1	2	0
Odin's bow	Odin's bows	1	2	1	1	2	0
Cheiron's bow	Cheiron's bows	1	1	1	1	2	0
Eros' bow	Eros' bows	1	2	1	1	2	0
plain clothes	sets of plain clothes	1	3	1	1	2	1
bandit's grass skirt	bandit's grass skirts	1	1	1	1	2	0
wayfarer's clothes	sets of wayfarer's clothes	1	3	1	1	2	1
boxer shorts	pairs of boxer shorts	1	4	1	1	2	1
dancer's costume	dancer's costumes	1	1	1	1	2	0
leather kilt	leather kilts	1	1	1	1	2	0
leather dress	leather dresses	1	1	1	1	2	0
Templar's uniform	Templar's uniforms	1	1	1	1	2	0
fur poncho	fur ponchos	1	1	1	1	2	0
cloak of evasion	cloaks of evasion	1	1	1	1	2	0
bunny suit	bunny suits	1	1	1	1	2	0
silk bustier	silk bustiers	1	1	1	1	2	0
magic bikini	magic bikinis	1	1	1	1	2	0
spangled dress	spangled dresses	1	1	1	1	2	0
posh waistcoat	posh waistcoats	1	1	1	1	2	0
magical skirt	magical skirts	1	1	1	1	2	0
shimmering dress	shimmering dresses	1	1	1	1	2	0
dark robe	dark robes	1	1	1	1	2	0
dangerous bustier	dangerous bustiers	1	1	1	1	2	0
divine bustier	divine bustiers	1	1	1	1	2	0
Jessica's outfit	Jessica's outfits	0	0	1	1	2	0
leather armour	suits of leather armour	2	5	1	1	2	0
scale armour	suits of scale armour	2	5	1	1	2	0
chain mail	suits of chain mail	2	5	1	1	2	0
bronze armour	suits of bronze armour	2	5	1	1	2	0
iron cuirass	iron cuirasses	1	2	1	1	2	0
